r,n1,n2
"{""relevance"":6}","{""confidence"":7,""name"":""Guns used correctly thwart people putting your life at risk""}","{""confidence"":7,""name"":""Victims were no less likely to prevent injury than if they took other protective action""}"
"{""relevance"":6}","{""confidence"":10,""name"":""Guns are used more often to intimidate intruders""}","{""confidence"":3,""name"":""Often this tactic is illegal""}"
"{""relevance"":2}","{""confidence"":8,""name"":""Using a gun for self defense can escalate an incident""}","{""confidence"":3,""name"":""Criminals who are shot are often considered the victim of a crim""}"
"{""relevance"":4}","{""confidence"":10,""name"":""Gun Industry/ Culture""}","{""confidence"":10,""name"":""35,000 people employed by firearm manufacturers""}"
"{""relevance"":4}","{""confidence"":10,""name"":""Gun Industry/ Culture""}","{""confidence"":10,""name"":""123 million collected from gun taxes""}"
"{""relevance"":5}","{""confidence"":10,""name"":""Gun Industry/ Culture""}","{""confidence"":10,""name"":""32% of Americans own a gun""}"
"{""relevance"":4}","{""confidence"":10,""name"":""Gun Industry/ Culture""}","{""confidence"":10,""name"":""14.82 million hunters in USA""}"
"{""relevance"":10}","{""confidence"":10,""name"":""Gun Industry/ Culture""}","{""confidence"":2,""name"":""This is a bad part of American Culture ""}"
"{""relevance"":10}","{""confidence"":2,""name"":""This is a bad part of American Culture ""}","{""confidence"":1,""name"":""Hunting can hurt the wildlife""}"
"{""relevance"":2}","{""confidence"":1,""name"":""Hunting can hurt the wildlife""}","{""confidence"":1,""name"":""Lead to extiniction of animals""}"
"{""relevance"":2}","{""confidence"":1,""name"":""Hunting can hurt the wildlife""}","{""confidence"":10,""name"":""Prevent over population""}"
